,代码,名称,当前市值(亿元),目标市值(亿元),目标估值,近年平均利润(亿元),加权年数
170,600269.XSHG,赣粤高速,82.6734,161.28948641137498,15,10.752632427424999,4
171,600271.XSHG,航天信息,202.8871,230.081629398,15,15.3387752932,4
172,600273.XSHG,嘉化能源,125.93700000000001,151.355926249125,15,10.090395083274998,4
173,600282.XSHG,南钢股份,229.2535,381.31879502099997,15,25.4212530014,4
174,600284.XSHG,浦东建设,58.7975,61.08802573709999,15,4.072535049139999,5
175,600297.XSHG,广汇汽车,217.3561,470.451617730375,15,31.363441182025,4
176,600308.XSHG,华泰股份,67.7186,84.561916542375,15,5.637461102825,4
177,600325.XSHG,华发股份,131.4774,289.042908854625,15,19.269527256975,4
178,600335.XSHG,国机汽车,71.2412,90.62778278062498,15,6.041852185374999,4
179,600338.XSHG,西藏珠峰,94.895,122.426956089,15,8.1617970726,4
180,600340.XSHG,华夏幸福,268.4812,1561.1233510185,15,104.07489006790001,4
181,600348.XSHG,华阳股份,124.8195,215.20153547175,15,14.34676903145,4
182,600350.XSHG,山东高速,320.9048,439.53831663524994,15,29.302554442349997,4
183,600352.XSHG,浙江龙盛,500.0371,511.392170860125,15,34.092811390675,4
184,600368.XSHG,五洲交通,40.8604,70.93872354712501,15,4.729248236475001,4
185,600373.XSHG,中文传媒,136.3194,228.4126978215,15,15.2275131881,4
186,600376.XSHG,首开股份,148.583,382.07630032387505,15,25.471753354925003,4
187,600377.XSHG,宁沪高速,483.12,581.6337757807499,15,38.77558505205,4
188,600382.XSHG,广东明珠,47.0993,47.56729851374999,15,3.1711532342499997,4
189,600383.XSHG,金地集团,557.5511,1174.380079547625,15,78.292005303175,4
190,600388.XSHG,龙净环保,102.5229,114.018029364375,15,7.601201957625,4
191,600390.XSHG,五矿资本,288.32599999999996,338.17950900375,15,22.545300600250002,4
192,600393.XSHG,粤泰股份,45.6525,66.85989670275,15,4.457326446850001,4
193,600398.XSHG,海澜之家,307.9869,491.88058804762505,15,32.792039203175,4
194,600466.XSHG,蓝光发展,132.32299999999998,297.932358311625,15,19.862157220775,4
195,600491.XSHG,龙元建设,81.6891,108.67017062625,15,7.244678041749999,4
196,600502.XSHG,安徽建工,67.4695,93.11546710125,15,6.20769780675,4
197,600507.XSHG,方大特钢,176.7879,294.134325003375,15,19.608955000225002,4
198,600508.XSHG,上海能源,69.8146,82.73959811362501,15,5.5159732075750005,4
199,600510.XSHG,黑牡丹,69.7365,86.5585345275,15,5.7705689685,4
200,600516.XSHG,方大炭素,348.6269,423.632921916,15,28.2421947944,4
201,600545.XSHG,卓郎智能,61.4114,69.35853714412501,15,4.623902476275,4
202,600548.XSHG,深高速,192.562,320.07343555725,15,21.33822903715,4
203,600551.XSHG,时代出版,35.9642,47.447054032875,15,3.1631369355250003,4
204,600565.XSHG,迪马股份,79.6482,170.9322648297,15,11.39548432198,5
205,600566.XSHG,济川药业,180.938,205.068135279,15,13.671209018599999,4
206,600567.XSHG,山鹰国际,164.063,260.001342136875,15,17.333422809125,4
207,600569.XSHG,安阳钢铁,79.8533,143.89243607174998,15,9.59282907145,4
208,600581.XSHG,八一钢铁,69.1337,75.626938242,15,5.041795882799999,4
209,600582.XSHG,天地科技,141.5397,147.85945562137502,15,9.857297041425001,4
210,600585.XSHG,海螺水泥,2853.6743,3292.186009575,15,219.479067305,4
211,600603.XSHG,广汇物流,58.326,73.68101242200001,15,4.9120674948000005,4
212,600606.XSHG,绿地控股,685.0671,1588.6073844003747,15,105.90715896002499,4
213,600611.XSHG,大众交通,87.9454,123.5336707905,15,8.2355780527,4
214,600618.XSHG,氯碱化工,94.4779,94.819030228875,15,6.321268681924999,4
215,600622.XSHG,光大嘉宝,49.1897,81.52007678325,15,5.434671785550001,4
216,600633.XSHG,浙数文化,95.3008,122.07264255562498,15,8.138176170374999,4
217,600637.XSHG,东方明珠,323.6946,346.102835649375,15,23.073522376625,4
218,600641.XSHG,万业企业,128.1711,148.5834222885,15,9.9055614859,4
219,600642.XSHG,申能股份,279.0038,311.661799912875,15,20.777453327525,4
220,600643.XSHG,爱建集团,114.0211,147.27036277725003,15,9.818024185150001,4
221,600649.XSHG,城投控股,123.6962,205.78073467912503,15,13.718715645275001,4
222,600657.XSHG,信达地产,114.9307,238.45002574012497,15,15.896668382675,4
223,600658.XSHG,电子城,58.1664,63.348207656999996,15,4.2232138438,4
224,600663.XSHG,陆家嘴,430.0454,480.23462460037496,15,32.015641640025,4
225,600665.XSHG,天地源,26.7014,49.83311186962501,15,3.3222074579750003,4
226,600668.XSHG,尖峰集团,48.1029,73.009274545125,15,4.867284969675,4
227,600675.XSHG,中华企业,206.0494,223.30521261112494,15,14.887014174074999,4
228,600681.XSHG,百川能源,78.9179,109.54188897689998,15,7.30279259846,5
229,600688.XSHG,上海石化,389.6573,734.55135,15,48.97009,4
230,600694.XSHG,大商股份,58.5675,129.775877175,15,8.651725145,4
231,600704.XSHG,物产中大,244.5034,357.00986009887504,15,23.800657339925003,4
232,600705.XSHG,中航资本,366.611,438.3401919789,15,29.22267946526,5
233,600708.XSHG,光明地产,55.0473,185.485505574,15,12.365700371600001,4
234,600717.XSHG,天津港,118.8952,120.151656684375,15,8.010110445625,4
235,600723.XSHG,首商股份,52.8043,53.01185912624999,15,3.5341239417499994,4
236,600725.XSHG,ST云维,23.2937,59.18816372437499,15,3.9458775816249996,4
237,600736.XSHG,苏州高新,52.3838,70.426514741625,15,4.695100982775,4
238,600738.XSHG,丽尚国潮,53.2144,76.363047280875,15,5.090869818725,4
239,600741.XSHG,华域汽车,801.7377,1017.0008148596249,15,67.800054323975,4
240,600742.XSHG,一汽富维,66.1761,72.20566862775,15,4.81371124185,4
241,600743.XSHG,华远地产,49.7373,115.028358029625,15,7.668557201975,4
242,600748.XSHG,上实发展,87.6167,108.89616031762499,15,7.259744021174999,4
243,600751.XSHG,海航科技,63.4955,64.6591125,15,4.3106075,4
244,600755.XSHG,厦门国贸,131.372,279.44188983375,15,18.62945932225,4
