代码,名称,当前市值(亿元),目标市值(亿元),目标估值,近年平均利润(亿元),加权年数
600482.XSHG,中国动力,361.0,524.2,54.7,9.6,5
600487.XSHG,亨通光电,293.6,437.2,27.7,15.8,5
600491.XSHG,龙元建设,80.3,312.9,50.4,6.2,5
600502.XSHG,安徽建工,66.4,148.5,27.1,5.5,5
600507.XSHG,方大特钢,205.7,1396.5,83.0,16.8,6
600508.XSHG,上海能源,68.4,655.5,147.8,4.4,5
600510.XSHG,黑牡丹,70.8,171.9,33.3,5.2,5
600516.XSHG,方大炭素,390.1,3660.1,161.6,22.7,5
600522.XSHG,中天科技,350.5,409.5,22.9,17.9,6
600528.XSHG,中铁工业,197.3,707.7,74.0,9.6,5
600565.XSHG,迪马股份,81.2,361.9,35.2,10.3,6
600566.XSHG,济川药业,184.1,338.9,27.5,12.3,5
600567.XSHG,山鹰国际,170.0,851.0,59.6,14.3,5
600575.XSHG,淮河能源,83.2,214.7,47.0,4.6,5
600577.XSHG,精达股份,69.7,103.0,30.9,3.3,6
600585.XSHG,海螺水泥,2806.0,8938.6,46.9,190.6,5
600606.XSHG,绿地控股,688.7,2436.2,24.7,98.5,5
600611.XSHG,大众交通,88.7,165.0,21.7,7.6,5
600622.XSHG,光大嘉宝,49.2,85.9,17.5,4.9,5
600639.XSHG,浦东金桥,139.2,208.1,26.8,7.8,5
600643.XSHG,爱建集团,114.2,248.3,27.7,9.0,5
600655.XSHG,豫园股份,405.0,708.8,43.1,16.4,5
600657.XSHG,信达地产,114.6,451.6,31.3,14.4,5
600663.XSHG,陆家嘴,435.7,645.4,21.9,29.4,5
600665.XSHG,天地源,27.0,72.2,23.5,3.1,5
600667.XSHG,太极实业,179.0,433.3,115.9,3.7,5
600668.XSHG,尖峰集团,47.7,172.3,40.1,4.3,5
600673.XSHG,东阳光,155.8,466.7,79.5,5.9,5
600694.XSHG,大商股份,60.0,102.3,12.4,8.2,5
600704.XSHG,物产中大,243.5,490.5,22.5,21.8,5
600720.XSHG,祁连山,118.1,345.6,61.5,5.6,5
600729.XSHG,重庆百货,119.2,200.0,31.2,6.4,5
600736.XSHG,苏州高新,52.0,85.5,20.7,4.1,5
600737.XSHG,中粮糖业,204.7,314.4,65.1,4.8,5
600748.XSHG,上实发展,88.5,104.2,15.2,6.8,5
600751.XSHG,海航科技,63.8,96.2,24.4,3.9,5
600755.XSHG,厦门国贸,130.2,641.8,39.6,16.2,5
600757.XSHG,长江传媒,64.1,172.2,28.2,6.1,5
600782.XSHG,新钢股份,185.3,3996.2,153.8,26.0,5
600801.XSHG,华新水泥,480.5,4493.0,158.7,28.3,5
600820.XSHG,隧道股份,168.2,256.1,14.1,18.1,5
600823.XSHG,世茂股份,176.7,206.5,9.2,22.4,5
600828.XSHG,茂业商业,64.8,786.2,94.9,8.3,5
600846.XSHG,同济科技,60.4,125.3,41.6,3.0,5
600901.XSHG,江苏租赁,165.5,270.1,25.0,10.8,5
600908.XSHG,无锡银行,122.9,153.3,15.1,10.1,5
600919.XSHG,江苏银行,965.9,1886.7,15.8,119.3,5
600928.XSHG,西安银行,235.6,275.2,12.3,22.3,5
600970.XSHG,中材国际,179.0,285.5,27.9,10.2,5
600985.XSHG,淮北矿业,251.2,1857.9,123.8,15.0,5
600987.XSHG,航民股份,59.9,93.0,15.5,6.0,5
601000.XSHG,唐山港,149.3,218.4,14.8,14.7,5
601009.XSHG,南京银行,1006.7,1904.5,19.7,96.9,5
601019.XSHG,山东出版,122.7,209.6,16.3,12.9,5
601058.XSHG,赛轮轮胎,245.1,317.6,57.8,5.5,5
601077.XSHG,渝农商行,495.2,1011.6,11.3,89.2,4
601128.XSHG,常熟银行,223.4,270.6,20.7,13.1,5
601155.XSHG,新城控股,1065.4,4188.3,61.5,68.1,5
601166.XSHG,兴业银行,4956.7,6731.0,11.7,575.5,5
601169.XSHG,北京银行,1027.5,2074.8,10.9,189.6,5
601186.XSHG,中国铁建,1075.5,2713.0,16.8,161.7,5
601216.XSHG,君正集团,494.5,638.6,34.2,18.7,5
601229.XSHG,上海银行,1226.0,2620.1,16.2,161.9,5
601233.XSHG,桐昆股份,536.4,1819.0,113.5,16.0,5
601238.XSHG,广汽集团,1097.2,1259.6,16.2,77.7,5
601288.XSHG,农业银行,11864.4,17353.8,8.9,1944.7,5
601298.XSHG,青岛港,456.3,656.5,22.6,29.0,5
601318.XSHG,中国平安,14883.8,26318.2,26.1,1009.3,6
601328.XSHG,交通银行,3475.5,6139.4,8.7,709.7,5
601390.XSHG,中国中铁,1459.5,3577.0,21.9,163.4,5
601398.XSHG,工商银行,19531.1,22919.2,7.9,2902.7,5
601512.XSHG,中新集团,141.3,208.4,23.9,8.7,4
601567.XSHG,三星医疗,91.8,155.7,20.5,7.6,5
601577.XSHG,长沙银行,380.1,809.5,20.9,38.8,5
601588.XSHG,北辰实业,78.5,326.3,31.4,10.4,5
601598.XSHG,中国外运,354.5,488.0,21.1,23.1,5
601618.XSHG,中国中冶,654.9,752.6,12.9,58.4,5
601636.XSHG,旗滨集团,359.7,623.1,66.2,9.4,5
601658.XSHG,邮储银行,5166.5,9274.4,18.5,501.8,4
601668.XSHG,中国建筑,2165.4,5726.4,16.9,338.0,5
601669.XSHG,中国电建,608.9,894.1,13.0,68.6,5
601677.XSHG,明泰铝业,136.6,231.8,52.5,4.4,5
601717.XSHG,郑煤机,230.6,510.1,112.8,4.5,5
601778.XSHG,晶科科技,175.3,501.9,83.7,6.0,4
601800.XSHG,中国交建,1162.3,2059.2,11.1,185.6,5
601811.XSHG,新华文轩,111.4,166.1,19.4,8.6,5
601818.XSHG,光大银行,2263.9,3500.8,10.8,324.8,5
601828.XSHG,美凯龙,371.0,517.1,13.2,39.3,5
601838.XSHG,成都银行,436.7,875.4,22.4,39.0,5
601860.XSHG,紫金银行,143.1,207.3,18.2,11.4,5
601900.XSHG,南方传媒,71.8,123.6,22.1,5.6,5
601916.XSHG,浙商银行,886.9,1418.3,12.5,113.8,4
601939.XSHG,建设银行,18550.8,21552.9,8.8,2446.5,5
601988.XSHG,中国银行,9655.9,12676.5,7.2,1750.6,5
601992.XSHG,金隅集团,312.9,592.2,20.4,29.0,5
601997.XSHG,贵阳银行,271.3,892.7,20.0,44.7,5
601998.XSHG,中信银行,2642.5,3815.5,8.8,435.8,5
603018.XSHG,华设集团,63.5,116.1,36.7,3.2,5
603113.XSHG,金能科技,194.3,442.0,68.6,6.4,5
603160.XSHG,汇顶科技,514.0,595.2,57.4,10.4,5
603167.XSHG,渤海轮渡,42.8,87.7,28.0,3.1,5
603260.XSHG,合盛硅业,494.1,590.5,46.6,12.7,5
603323.XSHG,苏农银行,88.7,113.4,15.3,7.4,5
603367.XSHG,辰欣药业,61.1,90.2,24.0,3.8,5
603368.XSHG,柳药股份,78.6,159.8,37.3,4.3,5
603379.XSHG,三美股份,111.0,180.3,23.5,7.7,4
603565.XSHG,中谷物流,210.0,254.6,42.8,6.0,3
603589.XSHG,口子窖,336.8,378.4,32.9,11.5,5
603609.XSHG,禾丰牧业,110.6,248.1,41.9,5.9,5
603898.XSHG,好莱客,55.9,78.7,26.1,3.0,5
